HIP 37279
HIP 97649
HIP 113368
HIP 57632
HIP 67927
HIP 2021
HIP 107556
HIP 102422
HIP 22449
HIP 17378
HIP 8102
HIP 95501
HIP 99240
HIP 3821
HIP 16537
HIP 98036
HIP 57757
HIP 27072
HIP 28103
HIP 109176
HIP 78072
HIP 27321
HIP 14632
HIP 50954
HIP 70497
HIP 59199
HIP 7513
HIP 12777
HIP 116771
HIP 102485
HIP 15510
HIP 92043
HIP 1599
HIP 64394
HIP 112447
HIP 61317
HIP 105858
HIP 17651
HIP 108870
HIP 67153
HIP 16852
HIP 19849
HIP 61174
HIP 77257
HIP 12843
HIP 71284
HIP 96100
HIP 34834
HIP 77760
HIP 46509
HIP 24813
HIP 64924
HIP 76829
HIP 23693
HIP 16245
HIP 104214
HIP 39903
HIP 15457
HIP 64408
HIP 86486
HIP 4151
HIP 10644
HIP 51459
HIP 57443
HIP 65721
HIP 86736
HIP 80686
HIP 82860
HIP 910
HIP 47592
HIP 5862
HIP 109422
HIP 73996
HIP 29271
HIP 53721
HIP 25278
HIP 97295
HIP 48113
HIP 95447
HIP 88745
HIP 86796
HIP 7981
HIP 29800
HIP 25110
HIP 97675
HIP 40843
HIP 45333
HIP 104217
HIP 64792
HIP 3909
HIP 15371
HIP 56997
HIP 114622
HIP 32480
HIP 47080
HIP 49081
HIP 80337
HIP 73184
HIP 84862
HIP 78459
HIP 12653
HIP 18859
HIP 58576
HIP 32439
HIP 89042
HIP 79672
HIP 22263
HIP 8362
HIP 15330
HIP 7978
HIP 99825
HIP 3765
HIP 35136
HIP 107649
HIP 12114
HIP 38908
HIP 42438
HIP 105090
HIP 81300
HIP 75181
HIP 98767
HIP 26394
HIP 3093
HIP 49908
HIP 84478
HIP 43587
HIP 3583
HIP 23311
HIP 56452
HIP 72848
HIP 40693
HIP 13402
HIP 100017
HIP 114046
HIP 54035
HIP 27435
HIP 544
HIP 113283
HIP 26779
HIP 1475
HIP 68184
HIP 32984
HIP 88972
HIP 10798
HIP 86400
HIP 41926
HIP 57939
HIP 85235
HIP 42808
HIP 25878
