Occ, P_min, P_mid, P_max, R_min, R_mid, R_max 
0.01973,5.36805677131,6.46824111037,7.79390845595,0.498221699096,0.53282903056,0.569840246466
0.01833,5.36805677131,6.46824111037,7.79390845595,0.569840246466,0.60942232474,0.651753841878
0.01643,5.36805677131,6.46824111037,7.79390845595,0.651753841878,0.697025778608,0.745442381504
0.01474,5.36805677131,6.46824111037,7.79390845595,0.745442381504,0.797222084457,0.852598494151
0.01373,5.36805677131,6.46824111037,7.79390845595,0.852598494151,0.911821443987,0.975158121225
0.0124,5.36805677131,6.46824111037,7.79390845595,0.975158121225,1.0428942724,1.11533549251
0.01141,5.36805677131,6.46824111037,7.79390845595,1.11533549251,1.19280860369,1.27566312969
0.01003,5.36805677131,6.46824111037,7.79390845595,1.27566312969,1.36427287279,1.45903760022
0.00933,5.36805677131,6.46824111037,7.79390845595,1.45903760022,1.56038484773,1.6687718484
0.00813,5.36805677131,6.46824111037,7.79390845595,1.6687718484,1.78468759555,1.90865504878
0.00765,5.36805677131,6.46824111037,7.79390845595,1.90865504878,2.04123349336,2.18302106349
0.00688,5.36805677131,6.46824111037,7.79390845595,2.18302106349,2.33465744078,2.49682674022
0.00629,5.36805677131,6.46824111037,7.79390845595,2.49682674022,2.6702605966,2.85574146532
0.00567,5.36805677131,6.46824111037,7.79390845595,2.85574146532,3.05410615246,3.26624959008
0.00195,5.36805677131,6.46824111037,7.79390845595,3.26624959008,3.49312887377,3.7357675806
0.00058,5.36805677131,6.46824111037,7.79390845595,3.7357675806,3.99526038705,4.27277800772
0.00058,5.36805677131,6.46824111037,7.79390845595,4.27277800772,4.56957247704,4.88698279789
0.0004,5.36805677131,6.46824111037,7.79390845595,4.88698279789,5.22644098258,5.58947851344
0.00046,5.36805677131,6.46824111037,7.79390845595,5.58947851344,5.9777332522,6.39295682925
0.00053,5.36805677131,6.46824111037,7.79390845595,6.39295682925,6.83702254623,7.31193382753
0.00036,5.36805677131,6.46824111037,7.79390845595,7.31193382753,7.81983325879,8.36301225335
0.00028,5.36805677131,6.46824111037,7.79390845595,8.36301225335,8.94392139001,9.565181469
0.0002,5.36805677131,6.46824111037,7.79390845595,9.565181469,10.2295953358,10.9401605263
0.00013,5.36805677131,6.46824111037,7.79390845595,10.9401605263,11.7000827904,12.5127905549
0.00031,5.36805677131,6.46824111037,7.79390845595,12.5127905549,13.3819503909,14.3114835558
0.02221,7.79390845595,9.39127159659,11.3160146414,0.498221699096,0.53282903056,0.569840246466
0.0198,7.79390845595,9.39127159659,11.3160146414,0.569840246466,0.60942232474,0.651753841878
0.01833,7.79390845595,9.39127159659,11.3160146414,0.651753841878,0.697025778608,0.745442381504
0.01603,7.79390845595,9.39127159659,11.3160146414,0.745442381504,0.797222084457,0.852598494151
0.01445,7.79390845595,9.39127159659,11.3160146414,0.852598494151,0.911821443987,0.975158121225
0.01303,7.79390845595,9.39127159659,11.3160146414,0.975158121225,1.0428942724,1.11533549251
0.01211,7.79390845595,9.39127159659,11.3160146414,1.11533549251,1.19280860369,1.27566312969
0.01097,7.79390845595,9.39127159659,11.3160146414,1.27566312969,1.36427287279,1.45903760022
0.00949,7.79390845595,9.39127159659,11.3160146414,1.45903760022,1.56038484773,1.6687718484
0.00903,7.79390845595,9.39127159659,11.3160146414,1.6687718484,1.78468759555,1.90865504878
0.00762,7.79390845595,9.39127159659,11.3160146414,1.90865504878,2.04123349336,2.18302106349
0.00711,7.79390845595,9.39127159659,11.3160146414,2.18302106349,2.33465744078,2.49682674022
0.00643,7.79390845595,9.39127159659,11.3160146414,2.49682674022,2.6702605966,2.85574146532
0.00586,7.79390845595,9.39127159659,11.3160146414,2.85574146532,3.05410615246,3.26624959008
0.00235,7.79390845595,9.39127159659,11.3160146414,3.26624959008,3.49312887377,3.7357675806
0.00079,7.79390845595,9.39127159659,11.3160146414,3.7357675806,3.99526038705,4.27277800772
0.0007,7.79390845595,9.39127159659,11.3160146414,4.27277800772,4.56957247704,4.88698279789
0.00077,7.79390845595,9.39127159659,11.3160146414,4.88698279789,5.22644098258,5.58947851344
0.00055,7.79390845595,9.39127159659,11.3160146414,5.58947851344,5.9777332522,6.39295682925
0.00044,7.79390845595,9.39127159659,11.3160146414,6.39295682925,6.83702254623,7.31193382753
0.00028,7.79390845595,9.39127159659,11.3160146414,7.31193382753,7.81983325879,8.36301225335
0.00036,7.79390845595,9.39127159659,11.3160146414,8.36301225335,8.94392139001,9.565181469
0.00011,7.79390845595,9.39127159659,11.3160146414,9.565181469,10.2295953358,10.9401605263
4e-05,7.79390845595,9.39127159659,11.3160146414,10.9401605263,11.7000827904,12.5127905549
0.00042,7.79390845595,9.39127159659,11.3160146414,12.5127905549,13.3819503909,14.3114835558
0.02441,11.3160146414,13.6352341689,16.4297782155,0.498221699096,0.53282903056,0.569840246466
0.02234,11.3160146414,13.6352341689,16.4297782155,0.569840246466,0.60942232474,0.651753841878
0.02009,11.3160146414,13.6352341689,16.4297782155,0.651753841878,0.697025778608,0.745442381504
0.01782,11.3160146414,13.6352341689,16.4297782155,0.745442381504,0.797222084457,0.852598494151
0.01662,11.3160146414,13.6352341689,16.4297782155,0.852598494151,0.911821443987,0.975158121225
0.01424,11.3160146414,13.6352341689,16.4297782155,0.975158121225,1.0428942724,1.11533549251
0.01331,11.3160146414,13.6352341689,16.4297782155,1.11533549251,1.19280860369,1.27566312969
0.01193,11.3160146414,13.6352341689,16.4297782155,1.27566312969,1.36427287279,1.45903760022
0.01078,11.3160146414,13.6352341689,16.4297782155,1.45903760022,1.56038484773,1.6687718484
0.0097,11.3160146414,13.6352341689,16.4297782155,1.6687718484,1.78468759555,1.90865504878
0.00855,11.3160146414,13.6352341689,16.4297782155,1.90865504878,2.04123349336,2.18302106349
0.00787,11.3160146414,13.6352341689,16.4297782155,2.18302106349,2.33465744078,2.49682674022
0.00723,11.3160146414,13.6352341689,16.4297782155,2.49682674022,2.6702605966,2.85574146532
0.00628,11.3160146414,13.6352341689,16.4297782155,2.85574146532,3.05410615246,3.26624959008
0.00236,11.3160146414,13.6352341689,16.4297782155,3.26624959008,3.49312887377,3.7357675806
0.00097,11.3160146414,13.6352341689,16.4297782155,3.7357675806,3.99526038705,4.27277800772
0.00083,11.3160146414,13.6352341689,16.4297782155,4.27277800772,4.56957247704,4.88698279789
0.00074,11.3160146414,13.6352341689,16.4297782155,4.88698279789,5.22644098258,5.58947851344
0.00067,11.3160146414,13.6352341689,16.4297782155,5.58947851344,5.9777332522,6.39295682925
0.00051,11.3160146414,13.6352341689,16.4297782155,6.39295682925,6.83702254623,7.31193382753
0.00039,11.3160146414,13.6352341689,16.4297782155,7.31193382753,7.81983325879,8.36301225335
0.00019,11.3160146414,13.6352341689,16.4297782155,8.36301225335,8.94392139001,9.565181469
0.00013,11.3160146414,13.6352341689,16.4297782155,9.565181469,10.2295953358,10.9401605263
8e-05,11.3160146414,13.6352341689,16.4297782155,10.9401605263,11.7000827904,12.5127905549
0.00038,11.3160146414,13.6352341689,16.4297782155,12.5127905549,13.3819503909,14.3114835558
0.02687,16.4297782155,19.7970646391,23.8544771076,0.498221699096,0.53282903056,0.569840246466
0.02402,16.4297782155,19.7970646391,23.8544771076,0.569840246466,0.60942232474,0.651753841878
0.02232,16.4297782155,19.7970646391,23.8544771076,0.651753841878,0.697025778608,0.745442381504
0.0198,16.4297782155,19.7970646391,23.8544771076,0.745442381504,0.797222084457,0.852598494151
0.01805,16.4297782155,19.7970646391,23.8544771076,0.852598494151,0.911821443987,0.975158121225
0.01571,16.4297782155,19.7970646391,23.8544771076,0.975158121225,1.0428942724,1.11533549251
0.01471,16.4297782155,19.7970646391,23.8544771076,1.11533549251,1.19280860369,1.27566312969
0.0133,16.4297782155,19.7970646391,23.8544771076,1.27566312969,1.36427287279,1.45903760022
0.01186,16.4297782155,19.7970646391,23.8544771076,1.45903760022,1.56038484773,1.6687718484
0.01062,16.4297782155,19.7970646391,23.8544771076,1.6687718484,1.78468759555,1.90865504878
0.00909,16.4297782155,19.7970646391,23.8544771076,1.90865504878,2.04123349336,2.18302106349
0.00792,16.4297782155,19.7970646391,23.8544771076,2.18302106349,2.33465744078,2.49682674022
0.00779,16.4297782155,19.7970646391,23.8544771076,2.49682674022,2.6702605966,2.85574146532
0.00669,16.4297782155,19.7970646391,23.8544771076,2.85574146532,3.05410615246,3.26624959008
0.00239,16.4297782155,19.7970646391,23.8544771076,3.26624959008,3.49312887377,3.7357675806
0.00122,16.4297782155,19.7970646391,23.8544771076,3.7357675806,3.99526038705,4.27277800772
0.00099,16.4297782155,19.7970646391,23.8544771076,4.27277800772,4.56957247704,4.88698279789
0.00072,16.4297782155,19.7970646391,23.8544771076,4.88698279789,5.22644098258,5.58947851344
0.00058,16.4297782155,19.7970646391,23.8544771076,5.58947851344,5.9777332522,6.39295682925
0.0006,16.4297782155,19.7970646391,23.8544771076,6.39295682925,6.83702254623,7.31193382753
0.00056,16.4297782155,19.7970646391,23.8544771076,7.31193382753,7.81983325879,8.36301225335
0.00041,16.4297782155,19.7970646391,23.8544771076,8.36301225335,8.94392139001,9.565181469
0.0002,16.4297782155,19.7970646391,23.8544771076,9.565181469,10.2295953358,10.9401605263
5e-05,16.4297782155,19.7970646391,23.8544771076,10.9401605263,11.7000827904,12.5127905549
0.0004,16.4297782155,19.7970646391,23.8544771076,12.5127905549,13.3819503909,14.3114835558
0.0291,23.8544771076,28.7434570957,34.6344345378,0.498221699096,0.53282903056,0.569840246466
0.02626,23.8544771076,28.7434570957,34.6344345378,0.569840246466,0.60942232474,0.651753841878
0.02422,23.8544771076,28.7434570957,34.6344345378,0.651753841878,0.697025778608,0.745442381504
0.02151,23.8544771076,28.7434570957,34.6344345378,0.745442381504,0.797222084457,0.852598494151
0.02007,23.8544771076,28.7434570957,34.6344345378,0.852598494151,0.911821443987,0.975158121225
0.01773,23.8544771076,28.7434570957,34.6344345378,0.975158121225,1.0428942724,1.11533549251
0.01564,23.8544771076,28.7434570957,34.6344345378,1.11533549251,1.19280860369,1.27566312969
0.01368,23.8544771076,28.7434570957,34.6344345378,1.27566312969,1.36427287279,1.45903760022
0.01253,23.8544771076,28.7434570957,34.6344345378,1.45903760022,1.56038484773,1.6687718484
0.01198,23.8544771076,28.7434570957,34.6344345378,1.6687718484,1.78468759555,1.90865504878
0.01006,23.8544771076,28.7434570957,34.6344345378,1.90865504878,2.04123349336,2.18302106349
0.00904,23.8544771076,28.7434570957,34.6344345378,2.18302106349,2.33465744078,2.49682674022
0.0079,23.8544771076,28.7434570957,34.6344345378,2.49682674022,2.6702605966,2.85574146532
0.00694,23.8544771076,28.7434570957,34.6344345378,2.85574146532,3.05410615246,3.26624959008
0.00299,23.8544771076,28.7434570957,34.6344345378,3.26624959008,3.49312887377,3.7357675806
0.00118,23.8544771076,28.7434570957,34.6344345378,3.7357675806,3.99526038705,4.27277800772
0.00114,23.8544771076,28.7434570957,34.6344345378,4.27277800772,4.56957247704,4.88698279789
