Occ, P_min, P_mid, P_max, R_min, R_mid, R_max 
0.00658,5.36805677131,6.46824111037,7.79390845595,0.498221699096,0.531148401526,0.566251178854
0.00689,5.36805677131,6.46824111037,7.79390845595,0.566251178854,0.603673844509,0.643569716325
0.00687,5.36805677131,6.46824111037,7.79390845595,0.643569716325,0.686102244677,0.731445682124
0.00656,5.36805677131,6.46824111037,7.79390845595,0.731445682124,0.779785797303,0.831320636018
0.00563,5.36805677131,6.46824111037,7.79390845595,0.831320636018,0.886261332612,0.94483297497
0.00583,5.36805677131,6.46824111037,7.79390845595,0.94483297497,1.00727552669,1.07384481019
0.00578,5.36805677131,6.46824111037,7.79390845595,1.07384481019,1.1448135548,1.2204725141
0.0059,5.36805677131,6.46824111037,7.79390845595,1.2204725141,1.30113165715,1.38712143836
0.00573,5.36805677131,6.46824111037,7.79390845595,1.38712143836,1.47879415136,1.57652537236
0.00562,5.36805677131,6.46824111037,7.79390845595,1.57652537236,1.68071549877,1.79179138968
0.00503,5.36805677131,6.46824111037,7.79390845595,1.79179138968,1.91020811463,2.03645081799
0.00516,5.36805677131,6.46824111037,7.79390845595,2.03645081799,2.1710367066,2.31451716868
0.00498,5.36805677131,6.46824111037,7.79390845595,2.31451716868,2.46748003285,2.63055197641
0.00495,5.36805677131,6.46824111037,7.79390845595,2.63055197641,2.8044010928,2.98973962873
0.00467,5.36805677131,6.46824111037,7.79390845595,2.98973962873,3.18732690218,3.3979724133
0.00066,5.36805677131,6.46824111037,7.79390845595,3.3979724133,3.62253916084,3.86194717781
0.0005,5.36805677131,6.46824111037,7.79390845595,3.86194717781,4.11717730077,4.38927518828
0.00048,5.36805677131,6.46824111037,7.79390845595,4.38927518828,4.67935560484,4.988606988
0.00034,5.36805677131,6.46824111037,7.79390845595,4.988606988,5.31829631733,5.66977430514
0.00038,5.36805677131,6.46824111037,7.79390845595,5.66977430514,6.04448093018,6.44395133722
0.00016,5.36805677131,6.46824111037,7.79390845595,6.44395133722,6.86982212635,7.32383805805
0.00024,5.36805677131,6.46824111037,7.79390845595,7.32383805805,7.80785920129,8.32386855417
0.00023,5.36805677131,6.46824111037,7.79390845595,8.32386855417,8.87398016803,9.46044780863
0.00011,5.36805677131,6.46824111037,7.79390845595,9.46044780863,10.0856741896,10.7522208163
0.0,5.36805677131,6.46824111037,7.79390845595,10.7522208163,11.4628184798,12.2203784451
0.00742,7.79390845595,9.39127159659,11.3160146414,0.498221699096,0.531148401526,0.566251178854
0.00689,7.79390845595,9.39127159659,11.3160146414,0.566251178854,0.603673844509,0.643569716325
0.00678,7.79390845595,9.39127159659,11.3160146414,0.643569716325,0.686102244677,0.731445682124
0.00673,7.79390845595,9.39127159659,11.3160146414,0.731445682124,0.779785797303,0.831320636018
0.00657,7.79390845595,9.39127159659,11.3160146414,0.831320636018,0.886261332612,0.94483297497
0.00626,7.79390845595,9.39127159659,11.3160146414,0.94483297497,1.00727552669,1.07384481019
0.00615,7.79390845595,9.39127159659,11.3160146414,1.07384481019,1.1448135548,1.2204725141
0.00596,7.79390845595,9.39127159659,11.3160146414,1.2204725141,1.30113165715,1.38712143836
0.00561,7.79390845595,9.39127159659,11.3160146414,1.38712143836,1.47879415136,1.57652537236
0.00599,7.79390845595,9.39127159659,11.3160146414,1.57652537236,1.68071549877,1.79179138968
0.00596,7.79390845595,9.39127159659,11.3160146414,1.79179138968,1.91020811463,2.03645081799
0.00573,7.79390845595,9.39127159659,11.3160146414,2.03645081799,2.1710367066,2.31451716868
0.00485,7.79390845595,9.39127159659,11.3160146414,2.31451716868,2.46748003285,2.63055197641
0.00462,7.79390845595,9.39127159659,11.3160146414,2.63055197641,2.8044010928,2.98973962873
0.00453,7.79390845595,9.39127159659,11.3160146414,2.98973962873,3.18732690218,3.3979724133
0.00068,7.79390845595,9.39127159659,11.3160146414,3.3979724133,3.62253916084,3.86194717781
0.00057,7.79390845595,9.39127159659,11.3160146414,3.86194717781,4.11717730077,4.38927518828
0.00047,7.79390845595,9.39127159659,11.3160146414,4.38927518828,4.67935560484,4.988606988
0.00037,7.79390845595,9.39127159659,11.3160146414,4.988606988,5.31829631733,5.66977430514
0.00034,7.79390845595,9.39127159659,11.3160146414,5.66977430514,6.04448093018,6.44395133722
0.00042,7.79390845595,9.39127159659,11.3160146414,6.44395133722,6.86982212635,7.32383805805
0.00022,7.79390845595,9.39127159659,11.3160146414,7.32383805805,7.80785920129,8.32386855417
0.00022,7.79390845595,9.39127159659,11.3160146414,8.32386855417,8.87398016803,9.46044780863
0.00011,7.79390845595,9.39127159659,11.3160146414,9.46044780863,10.0856741896,10.7522208163
0.0,7.79390845595,9.39127159659,11.3160146414,10.7522208163,11.4628184798,12.2203784451
0.00827,11.3160146414,13.6352341689,16.4297782155,0.498221699096,0.531148401526,0.566251178854
0.00832,11.3160146414,13.6352341689,16.4297782155,0.566251178854,0.603673844509,0.643569716325
0.00736,11.3160146414,13.6352341689,16.4297782155,0.643569716325,0.686102244677,0.731445682124
0.00763,11.3160146414,13.6352341689,16.4297782155,0.731445682124,0.779785797303,0.831320636018
0.00657,11.3160146414,13.6352341689,16.4297782155,0.831320636018,0.886261332612,0.94483297497
0.00704,11.3160146414,13.6352341689,16.4297782155,0.94483297497,1.00727552669,1.07384481019
0.0068,11.3160146414,13.6352341689,16.4297782155,1.07384481019,1.1448135548,1.2204725141
0.00657,11.3160146414,13.6352341689,16.4297782155,1.2204725141,1.30113165715,1.38712143836
0.00645,11.3160146414,13.6352341689,16.4297782155,1.38712143836,1.47879415136,1.57652537236
0.00613,11.3160146414,13.6352341689,16.4297782155,1.57652537236,1.68071549877,1.79179138968
0.00598,11.3160146414,13.6352341689,16.4297782155,1.79179138968,1.91020811463,2.03645081799
0.00539,11.3160146414,13.6352341689,16.4297782155,2.03645081799,2.1710367066,2.31451716868
0.00566,11.3160146414,13.6352341689,16.4297782155,2.31451716868,2.46748003285,2.63055197641
0.00554,11.3160146414,13.6352341689,16.4297782155,2.63055197641,2.8044010928,2.98973962873
0.00511,11.3160146414,13.6352341689,16.4297782155,2.98973962873,3.18732690218,3.3979724133
0.00083,11.3160146414,13.6352341689,16.4297782155,3.3979724133,3.62253916084,3.86194717781
0.00088,11.3160146414,13.6352341689,16.4297782155,3.86194717781,4.11717730077,4.38927518828
0.00078,11.3160146414,13.6352341689,16.4297782155,4.38927518828,4.67935560484,4.988606988
0.00041,11.3160146414,13.6352341689,16.4297782155,4.988606988,5.31829631733,5.66977430514
0.00048,11.3160146414,13.6352341689,16.4297782155,5.66977430514,6.04448093018,6.44395133722
0.00043,11.3160146414,13.6352341689,16.4297782155,6.44395133722,6.86982212635,7.32383805805
0.00042,11.3160146414,13.6352341689,16.4297782155,7.32383805805,7.80785920129,8.32386855417
0.00034,11.3160146414,13.6352341689,16.4297782155,8.32386855417,8.87398016803,9.46044780863
0.00013,11.3160146414,13.6352341689,16.4297782155,9.46044780863,10.0856741896,10.7522208163
0.0,11.3160146414,13.6352341689,16.4297782155,10.7522208163,11.4628184798,12.2203784451
0.00828,16.4297782155,19.7970646391,23.8544771076,0.498221699096,0.531148401526,0.566251178854
0.00856,16.4297782155,19.7970646391,23.8544771076,0.566251178854,0.603673844509,0.643569716325
0.00813,16.4297782155,19.7970646391,23.8544771076,0.643569716325,0.686102244677,0.731445682124
0.00776,16.4297782155,19.7970646391,23.8544771076,0.731445682124,0.779785797303,0.831320636018
0.00795,16.4297782155,19.7970646391,23.8544771076,0.831320636018,0.886261332612,0.94483297497
0.00797,16.4297782155,19.7970646391,23.8544771076,0.94483297497,1.00727552669,1.07384481019
0.0073,16.4297782155,19.7970646391,23.8544771076,1.07384481019,1.1448135548,1.2204725141
0.0071,16.4297782155,19.7970646391,23.8544771076,1.2204725141,1.30113165715,1.38712143836
0.00704,16.4297782155,19.7970646391,23.8544771076,1.38712143836,1.47879415136,1.57652537236
0.0064,16.4297782155,19.7970646391,23.8544771076,1.57652537236,1.68071549877,1.79179138968
0.00671,16.4297782155,19.7970646391,23.8544771076,1.79179138968,1.91020811463,2.03645081799
0.00619,16.4297782155,19.7970646391,23.8544771076,2.03645081799,2.1710367066,2.31451716868
0.00594,16.4297782155,19.7970646391,23.8544771076,2.31451716868,2.46748003285,2.63055197641
0.00581,16.4297782155,19.7970646391,23.8544771076,2.63055197641,2.8044010928,2.98973962873
0.00549,16.4297782155,19.7970646391,23.8544771076,2.98973962873,3.18732690218,3.3979724133
