Occ, a_min, a_mid, a_max, M_min, M_mid, M_max 
0.000366,0.06,0.061893650810810504,0.0638470668448424,0.07999999999999999,0.08452125887808527,0.08929804002920383
0.000387,0.06,0.061893650810810504,0.0638470668448424,0.08929804002920383,0.09434478448267444,0.09967674941321612
0.000404,0.06,0.061893650810810504,0.0638470668448424,0.09967674941321612,0.10531005426600588,0.11126172948852864
0.000416,0.06,0.061893650810810504,0.0638470668448424,0.11126172948852864,0.11754976801654278,0.12419317966981348
0.000368,0.06,0.061893650810810504,0.0638470668448424,0.12419317966981348,0.13121204862206076,0.13862759411886386
0.000366,0.06,0.061893650810810504,0.0638470668448424,0.13862759411886386,0.14646223462708277,0.15473965560973155
0.000423,0.06,0.061893650810810504,0.0638470668448424,0.15473965560973155,0.1634848811311985,0.1727243495092878
0.000398,0.06,0.061893650810810504,0.0638470668448424,0.1727243495092878,0.1824859932427924,0.1927993234562322
0.000393,0.06,0.061893650810810504,0.0638470668448424,0.1927993234562322,0.20369551911704872,0.21520752129497553
0.00034,0.06,0.061893650810810504,0.0638470668448424,0.21520752129497553,0.22737013274854592,0.24022012313980576
0.000388,0.06,0.061893650810810504,0.0638470668448424,0.24022012313980576,0.25379634019531294,0.26813982714948303
0.000376,0.06,0.061893650810810504,0.0638470668448424,0.26813982714948303,0.28329394682533116,0.2993045127277292
0.000397,0.06,0.061893650810810504,0.0638470668448424,0.2993045127277292,0.31621992754549455,0.3340913294810264
0.000344,0.06,0.061893650810810504,0.0638470668448424,0.3340913294810264,0.3529727468498688,0.37292126141758264
0.000401,0.06,0.061893650810810504,0.0638470668448424,0.37292126141758264,0.3939971809677202,0.41626422162260607
0.000401,0.06,0.061893650810810504,0.0638470668448424,0.41626422162260607,0.4397897004681118,0.46464473906476067
0.000349,0.06,0.061893650810810504,0.0638470668448424,0.46464473906476067,0.4909044784604127,0.5186483063545496
0.000379,0.06,0.061893650810810504,0.0638470668448424,0.5186483063545496,0.547960097100917,0.5789284652740918
0.000422,0.06,0.061893650810810504,0.0638470668448424,0.5789284652740918,0.6116470335665513,0.6462147158261423
0.000352,0.06,0.061893650810810504,0.0638470668448424,0.6462147158261423,0.6827360160896209,0.7213213445162929
0.000382,0.06,0.061893650810810504,0.0638470668448424,0.7213213445162929,0.7620873511768764,0.805157278706688
0.000329,0.06,0.061893650810810504,0.0638470668448424,0.805157278706688,0.8506613348892827,0.8987370862969332
0.000365,0.06,0.061893650810810504,0.0638470668448424,0.8987370862969332,0.9495298741779894,1.0031932538484196
0.000348,0.06,0.061893650810810504,0.0638470668448424,1.0031932538484196,1.0598894589158872,1.1197898917397926
0.000325,0.06,0.061893650810810504,0.0638470668448424,1.1197898917397926,1.183075641610026,1.249938032210973
0.00032,0.06,0.061893650810810504,0.0638470668448424,1.249938032210973,1.3205792000258516,1.3952127054299968
0.000332,0.06,0.061893650810810504,0.0638470668448424,1.3952127054299968,1.4740641783205308,1.5573720002342704
0.000327,0.06,0.061893650810810504,0.0638470668448424,1.5573720002342704,1.6453880250160273,1.7383783402160131
0.000334,0.06,0.061893650810810504,0.0638470668448424,1.7383783402160131,1.8366240715181728,1.9404222326313807
0.00053,0.06,0.061893650810810504,0.0638470668448424,1.9404222326313807,2.050086623212864,2.1659487775384263
0.000771,0.06,0.061893650810810504,0.0638470668448424,2.1659487775384263,2.2883589667874706,2.417687257972894
