Occ, P_min, P_mid, P_max, R_min, R_mid, R_max 
0.00246,5.36805677131,6.46824111037,7.79390845595,0.498221699096,0.53282903056,0.569840246466
0.00231,5.36805677131,6.46824111037,7.79390845595,0.569840246466,0.60942232474,0.651753841878
0.00276,5.36805677131,6.46824111037,7.79390845595,0.651753841878,0.697025778608,0.745442381504
0.00251,5.36805677131,6.46824111037,7.79390845595,0.745442381504,0.797222084457,0.852598494151
0.00298,5.36805677131,6.46824111037,7.79390845595,0.852598494151,0.911821443987,0.975158121225
0.00279,5.36805677131,6.46824111037,7.79390845595,0.975158121225,1.0428942724,1.11533549251
0.00295,5.36805677131,6.46824111037,7.79390845595,1.11533549251,1.19280860369,1.27566312969
0.00316,5.36805677131,6.46824111037,7.79390845595,1.27566312969,1.36427287279,1.45903760022
0.0033,5.36805677131,6.46824111037,7.79390845595,1.45903760022,1.56038484773,1.6687718484
0.00345,5.36805677131,6.46824111037,7.79390845595,1.6687718484,1.78468759555,1.90865504878
0.00335,5.36805677131,6.46824111037,7.79390845595,1.90865504878,2.04123349336,2.18302106349
0.00379,5.36805677131,6.46824111037,7.79390845595,2.18302106349,2.33465744078,2.49682674022
0.00393,5.36805677131,6.46824111037,7.79390845595,2.49682674022,2.6702605966,2.85574146532
0.00398,5.36805677131,6.46824111037,7.79390845595,2.85574146532,3.05410615246,3.26624959008
0.00159,5.36805677131,6.46824111037,7.79390845595,3.26624959008,3.49312887377,3.7357675806
0.00046,5.36805677131,6.46824111037,7.79390845595,3.7357675806,3.99526038705,4.27277800772
0.00031,5.36805677131,6.46824111037,7.79390845595,4.27277800772,4.56957247704,4.88698279789
0.00039,5.36805677131,6.46824111037,7.79390845595,4.88698279789,5.22644098258,5.58947851344
0.00028,5.36805677131,6.46824111037,7.79390845595,5.58947851344,5.9777332522,6.39295682925
0.00021,5.36805677131,6.46824111037,7.79390845595,6.39295682925,6.83702254623,7.31193382753
0.00016,5.36805677131,6.46824111037,7.79390845595,7.31193382753,7.81983325879,8.36301225335
0.00018,5.36805677131,6.46824111037,7.79390845595,8.36301225335,8.94392139001,9.565181469
