2.002000000000000168e-01 5.953152800000000890e-04
2.006004000000000120e-01 8.097211124999999926e-04
2.010016008000000132e-01 6.283045749999999728e-04
2.014036040016000118e-01 8.719819249999999616e-04
2.018064112096032425e-01 8.526323899999999371e-04
2.022100240320224285e-01 9.292168250000000258e-04
2.026144440800864976e-01 9.774266375000000440e-04
2.030196729682466894e-01 9.560891874999999287e-04
2.034257123141831602e-01 9.303650625000000219e-04
2.038325637388115341e-01 9.022829900000000746e-04
2.042402288662891752e-01 8.753272749999999481e-04
2.046487093240217381e-01 8.523146999999999798e-04
2.050580067426697739e-01 8.340348124999999967e-04
2.054681227561551138e-01 8.303364874999999900e-04
2.058790590016674471e-01 8.269717000000000430e-04
2.062908171196707885e-01 8.201395000000000646e-04
2.067033987539101392e-01 8.126916750000000560e-04
2.071168055514179263e-01 8.063992875000000051e-04
2.075310391625207751e-01 8.015379000000000427e-04
2.079461012408458098e-01 7.954258900000001249e-04
2.083619934433275089e-01 7.890994625000000238e-04
2.087787174302141446e-01 7.834530625000000028e-04
2.091962748650745829e-01 7.776965749999999004e-04
2.096146674148047229e-01 7.709522875000000310e-04
2.100338967496343523e-01 7.625316100000000506e-04
2.104539645431336148e-01 7.567831375000000143e-04
2.108748724722198931e-01 7.520032625000000383e-04
2.112966222171643316e-01 7.455666874999998788e-04
2.117192154615986643e-01 7.379633500000000196e-04
2.121426538925218486e-01 7.271042499999999867e-04
2.125669392003068925e-01 7.155618624999999979e-04
2.129920730787074890e-01 7.054799625000000157e-04
2.134180572248648988e-01 6.957701624999999617e-04
2.138448933393146401e-01 6.861631249999999849e-04
2.142725831259932878e-01 6.727665900000000167e-04
2.147011282922452469e-01 6.584427375000000571e-04
2.151305305488297459e-01 6.469977125000000388e-04
2.155607916099274157e-01 6.376543249999999793e-04
2.159919131931472558e-01 6.272885700000000418e-04
2.164238970195335454e-01 6.151122249999999838e-04
2.168567448135726161e-01 6.032178374999999822e-04
2.172904583031997627e-01 5.920723374999999717e-04
2.177250392198061546e-01 5.813980624999999730e-04
2.181604892982457744e-01 5.695777799999999580e-04
2.185968102768422461e-01 5.574453000000000481e-04
2.190340038973959125e-01 5.448805999999999615e-04
2.194720719051907187e-01 5.316316625000000289e-04
2.199110160490010957e-01 5.187508250000000699e-04
2.203508380810991207e-01 5.050640099999999071e-04
2.207915397572613181e-01 4.919498749999999618e-04
2.212331228367758196e-01 4.790474125000000012e-04
2.216755890824493869e-01 4.654919875000000174e-04
2.221189402606142949e-01 4.525962375000000147e-04
2.225631781411355203e-01 4.390550699999999813e-04
2.230083044974177642e-01 4.261234249999999680e-04
2.234543211064126123e-01 4.150870125000000231e-04
2.239012297486254466e-01 4.032251625000000039e-04
2.243490322081226895e-01 3.916357250000000170e-04
2.247977302725389648e-01 3.791757599999999863e-04
2.252473257330840362e-01 3.673988625000000315e-04
2.256978203845501907e-01 3.574640249999999457e-04
2.261492160253192885e-01 3.474193999999999893e-04
2.266015144573699513e-01 3.368626124999999933e-04
2.270547174862846962e-01 3.254921600000000451e-04
2.275088269212572623e-01 3.145184124999999913e-04
2.279638445750997722e-01 3.051569500000000023e-04
2.284197722642499762e-01 2.957913500000000119e-04
2.288766118087784962e-01 2.859926874999999587e-04
2.293343650323960425e-01 2.752951600000000647e-04
2.297930337624608521e-01 2.653180375000000228e-04
2.302526198299857663e-01 2.544579000000000155e-04
2.307131250696457525e-01 2.486679374999999905e-04
2.311745513197850377e-01 2.403776625000000151e-04
2.316369004224245742e-01 2.331470499999999720e-04
2.321001742232694509e-01 2.260208625000000038e-04
2.325643745717159705e-01 2.187284500000000013e-04
2.330295033208594213e-01 2.115851749999999795e-04
2.334955623275011272e-01 2.050281499999999997e-04
2.339625534521561634e-01 1.993743875000000159e-04
2.344304785590604623e-01 1.926766000000000112e-04
2.348993395161785847e-01 1.867889750000000220e-04
2.353691381952109363e-01 1.828566500000000173e-04
2.358398764716013452e-01 1.766056100000000094e-04
2.363115562245445278e-01 1.699665749999999982e-04
2.367841793369936387e-01 1.658987749999999827e-04
2.372577476956675979e-01 1.609179000000000132e-04
2.377322631910589457e-01 1.566710500000000083e-04
2.382077277174410590e-01 1.514771300000000091e-04
2.386841431728759511e-01 1.471494374999999968e-04
2.391615114592217095e-01 1.437499375000000034e-04
2.396398344821401571e-01 1.385790000000000025e-04
2.401191141511044291e-01 1.345800000000000024e-04
2.405993523794066058e-01 1.320614800000000013e-04
2.410805510841654287e-01 1.281791250000000092e-04
2.415627121863337390e-01 1.243137375000000081e-04
2.420458376107064158e-01 1.217112749999999996e-04
2.425299292859278144e-01 1.197288249999999997e-04
2.430149891444997046e-01 1.170811199999999942e-04
2.435010191227887089e-01 1.137042124999999989e-04
2.439880211610342686e-01 1.112359000000000102e-04
2.444759972033563322e-01 1.099496249999999968e-04
2.449649491977630433e-01 1.082343124999999922e-04
2.454548790961585680e-01 1.039864299999999930e-04
2.459457888543508663e-01 1.014831749999999959e-04
2.464376804320595749e-01 1.005412500000000024e-04
2.469305557929236949e-01 9.905101625000000028e-05
2.474244169045095587e-01 9.636671874999999297e-05
2.479192657383185727e-01 9.447873200000000147e-05
2.484151042697951839e-01 9.328004000000000417e-05
2.489119344783347898e-01 9.033297624999999048e-05
2.494097583472914548e-01 8.900534375000000113e-05
2.499085778639860422e-01 8.748736499999998936e-05
2.504083950197140140e-01 8.702304750000001022e-05
2.509092118097534518e-01 8.644771999999999027e-05
2.514110302333729119e-01 8.432033625000001750e-05
2.519138522938396685e-01 8.186531875000000336e-05
2.524176799984273467e-01 8.204737299999999593e-05
2.529225153584241936e-01 8.159904375000000395e-05
2.534283603891410719e-01 8.015432749999999783e-05
2.539352171099192867e-01 7.890241374999999789e-05
2.544430875441391349e-01 7.900847625000000768e-05
2.549519737192273983e-01 7.792797600000000437e-05
2.554618776666658375e-01 7.583292500000000545e-05
2.559728014219991854e-01 7.626229499999999622e-05
2.564847470248432515e-01 7.709543249999999939e-05
2.569977165188929158e-01 7.660948000000000432e-05
2.575117119519306774e-01 7.600894399999999019e-05
2.580267353758345372e-01 7.572014749999999347e-05
2.585427888465862134e-01 7.353861749999999879e-05
2.590598744242793572e-01 7.321699625000000194e-05
2.595779941731279905e-01 7.583112500000000150e-05
2.600971501614742221e-01 7.595545499999999833e-05
2.606173444617971846e-01 7.341806999999999890e-05
2.611385791507207510e-01 7.448337250000000055e-05
2.616608563090221939e-01 7.601269000000001100e-05
2.621841780216402351e-01 7.521425125000000083e-05
2.627085463776834828e-01 7.490870200000000886e-05
2.632339634704388698e-01 7.755143249999999638e-05
2.637604313973797576e-01 7.778688624999999962e-05
2.642879522601745412e-01 7.632352499999999699e-05
2.648165281646948088e-01 7.691184625000000265e-05
2.653461612210242238e-01 7.854539799999999631e-05
2.658768535434662961e-01 7.841041000000000471e-05
2.664086072505532643e-01 7.997510125000000794e-05
2.669414244650543111e-01 8.225887249999999412e-05
2.674753073139844450e-01 8.222969900000000039e-05
2.680102579286124387e-01 8.275469999999999560e-05
2.685462784444696549e-01 8.569411750000000124e-05
2.690833710013585955e-01 8.775931125000000096e-05
2.696215377433612836e-01 8.682182874999999633e-05
2.701607808188479787e-01 8.819561299999999519e-05
2.707011023804857253e-01 9.171542874999999298e-05
2.712425045852466798e-01 9.340989500000000125e-05
2.717849895944172145e-01 9.412043124999999808e-05
2.723285595736060216e-01 9.622419500000001257e-05
2.728732166927532177e-01 9.903706999999999875e-05
2.734189631261387810e-01 1.017267249999999844e-04
2.739658010523910447e-01 1.061060750000000021e-04
2.745137326544958567e-01 1.092485750000000012e-04
2.750627601198047945e-01 1.097296750000000058e-04
2.756128856400444360e-01 1.143402600000000110e-04
2.761641114113245199e-01 1.177257625000000045e-04
2.767164396341471599e-01 1.214247249999999981e-04
2.772698725134154496e-01 1.240919374999999961e-04
2.778244122584422882e-01 1.285400624999999799e-04
2.783800610829592070e-01 1.341211699999999836e-04
2.789368212051250850e-01 1.394886500000000083e-04
2.794946948475353632e-01 1.440421124999999986e-04
2.800536842372304269e-01 1.480372250000000012e-04
2.806137916057048765e-01 1.564180874999999949e-04
2.811750191889162975e-01 1.622726100000000096e-04
2.817373692272941987e-01 1.740527250000000099e-04
2.823008439657487822e-01 1.793312999999999884e-04
2.828654456536803252e-01 1.865872250000000167e-04
2.834311765449876730e-01 1.886190125000000088e-04
2.839980388980776205e-01 2.026395999999999970e-04
2.845660349758737939e-01 2.140744999999999779e-04
2.851351670458255327e-01 2.249417375000000211e-04
2.857054373799171598e-01 2.361105250000000038e-04
2.862768482546770299e-01 2.441189124999999956e-04
2.868494019511863558e-01 2.578380399999999828e-04
2.874231007550887562e-01 2.706025999999999831e-04
2.879979469565989714e-01 2.916439500000000116e-04
2.885739428505121884e-01 3.064782375000000289e-04
2.891510907362132010e-01 3.237187299999999763e-04
2.897293929176856242e-01 3.445732624999999633e-04
2.903088517035209426e-01 3.601786500000000112e-04
2.908894694069280029e-01 3.774722375000000340e-04
2.914712483457418957e-01 4.037330374999999910e-04
2.920541908424333366e-01 4.357953600000000227e-04
2.926382992241182146e-01 4.557745374999999568e-04
2.932235758225664735e-01 4.842394749999999687e-04
2.938100229742116043e-01 5.208477000000000853e-04
2.943976430201600269e-01 5.445519375000000464e-04
2.949864383062003048e-01 5.793433799999999582e-04
2.955764111828127483e-01 6.289706750000000849e-04
2.961675640051783520e-01 6.708418125000000431e-04
2.967598991331887315e-01 7.040587625000000165e-04
